text,label
"Look, I love my relationship I think you know?",positive
"Honestly, So, I'm upset about my family from my perspective??",negative
"So, I'm upset about my family from my perspective?? in my opinion",negative
"So, I'm upset about my family from my perspective??...?",negative
Maybe I need to discuss my past wouldn't you say?.,neutral
I need to discuss my past wouldn't you say?. from my perspective,neutral
I need to discuss my past wouldn't you say?.?!,neutral
I'm thinking about my day very...,neutral
"Actually, I'm excited for my family from my perspective",positive
I'm excited for my family from my perspective...?,positive
"So, I need to discuss work as far as I can tell! from my perspective",neutral
I need to discuss my health I think you know?,neutral
I hate my future wouldn't you say? right?,negative
I love my health it seems right?,positive
I need to discuss school!!,neutral
I love my day in my opinion,positive
I'm disappointed with my day quite!...,negative
I'm disappointed with work really you know?,negative
I'm disappointed with work really!,negative
Maybe I'm thinking about school wouldn't you say?...,neutral
I'm thinking about school wouldn't you say?... maybe,neutral
I'm thinking about school wouldn't you say?......?,neutral
"You know, Hey, I need to discuss my health",neutral
"Hey, I need to discuss my health...",neutral
"Well, I'm really happy about my family right? in my opinion",positive
"Well, I'm really happy about my family right?...",positive
"In my experience, I'm excited for my relationship",positive
I'm excited for my relationship I think,positive
"You know, I'm disappointed with my day in my opinion...",negative
"Honestly, You know what, I'm upset about my family",negative
"Hey, I'm thinking about my future if you ask me...?",neutral
"Honestly, I'm upset about my family from my perspective??",negative
I believe I'm upset about my health I suppose.,negative
I'm upset about my health I suppose. from my perspective,negative
"You see, I'm really happy about my relationship as far as I can tell?! in my opinion",positive
"You see, I'm really happy about my relationship as far as I can tell?!?!",positive
I'm upset about my relationship very.,negative
I'm excited for my health quite...?,positive
"Honestly, I mean, I'm upset about my family very",negative
"I mean, I'm upset about my family very in my opinion",negative
I feel like I hate my family it seems,negative
I hate my family it seems!,negative
"I mean, I'm really happy about my day you know?",positive
I love my job in my opinion,positive
I'm really happy about my relationship in my opinion?!,positive
I'm really happy about my family I believe don't you think?,positive
I'm really happy about my family I believe?!,positive
I'm really happy about my past!,positive
"You know, I'm thinking about my family!",neutral
I'm thinking about my family! I think,neutral
I'm thinking about my family!!!,neutral
I'm thinking about my health actually?! from my perspective,neutral
I'm thinking about my health actually?!...?,neutral
I love my past very? right?,positive
I love my past very?...?,positive
"Actually, Look, I'm upset about my family,",negative
"Look, I'm upset about my family, maybe",negative
"Look, I'm upset about my family,...?",negative
"In my experience, I'm disappointed with my health really",negative
I'm disappointed with my health really I think,negative
I'm disappointed with my health really!!,negative
"I think Honestly, I hate my friends...",negative
"Honestly, I hate my friends...!!",negative
"In my experience, I'm disappointed with my past it seems",negative
I hate my friends from my perspective,negative
I hate my friends!!,negative
"Well, I'm thinking about school I suppose...!",neutral
"You know, Hmm, I love my relationship right?",positive
I believe I'm upset about my future...!,negative
"Actually, Well, I'm really happy about my health",positive
"Well, I'm really happy about my health I think",positive
"You know, I hate my day really",negative
I hate my day really don't you think?,negative
I hate my day really...,negative
I believe I'm disappointed with my past?!,negative
I'm disappointed with my past?!?!,negative
I'm upset about my past if you ask me I think,negative
I'm upset about my past if you ask me!!,negative
"Hey, I'm excited for my future in my opinion",positive
"Actually, I'm disappointed with school",negative
"Actually, I'm excited for my family it seems",positive
I'm excited for my family it seems right?,positive
"Honestly, I'm disappointed with my family! right?",negative
"Honestly, I'm disappointed with my family!...?",negative
"So, I'm disappointed with my future in my opinion!! right?",negative
"So, I hate my past in my opinion...!",negative
I need to discuss my job ,neutral
"I believe You know what, I hate my relationship right?...",negative
"You know what, I hate my relationship right?......",negative
"To be honest, I'm disappointed with my relationship right? from my perspective",negative
"I feel like To be honest, I'm disappointed with work don't you think?.",negative
I'm excited for my future really... I think,positive
I'm excited for my future really......,positive
"You see, I hate school I think",negative
"You see, I hate school...?",negative
I'm thinking about my past if you ask me... from my perspective,neutral
"I believe Hey, I'm disappointed with my health I believe",negative
"I mean, I'm disappointed with my relationship I believe maybe",negative
I'm upset about work! maybe,negative
I feel like I'm excited for my relationship you know,positive
I'm excited for my relationship you know I think,positive
"Well, I'm really happy about my past from my perspective",positive
"I feel like Actually, I'm thinking about school you know",neutral
"Actually, I'm thinking about school you know don't you think?",neutral
"Actually, I'm thinking about school you know?!",neutral
I love school I believe?!,positive
"To be honest, I'm upset about my past from my perspective?! maybe",negative
"To be honest, I'm upset about my past from my perspective?!!!",negative
"Well, I'm really happy about my past right?...!",positive
I'm excited for my family right?!...?,positive
"Listen, I'm upset about my friends as far as I can tell I think",negative
I'm upset about school! don't you think?,negative
"Look, I'm upset about my past it seems I think",negative
"Look, I'm upset about my past it seems...",negative
I'm excited for my job right?,positive
I'm excited for my job...?,positive
"I think You see, I hate school I suppose",negative
"You know, I'm excited for my health",positive
I'm excited for my health right?,positive
"You know what, I hate my friends!!",negative
"I feel like Listen, Let's talk about my health",neutral
"Listen, Let's talk about my health right?",neutral
"Listen, Let's talk about my health!",neutral
"Maybe Honestly, I'm disappointed with work I suppose,",negative
"Honestly, I'm disappointed with work I suppose, don't you think?",negative
I feel like I'm excited for my future if you ask me,positive
I'm excited for my future if you ask me maybe,positive
I'm excited for my future if you ask me!,positive
"In my experience, Hmm, I'm disappointed with my job",negative
"Hmm, I'm disappointed with my job from my perspective",negative
"Hmm, I'm disappointed with my job...?",negative
I love my health maybe,positive
I love my health?!,positive
I feel like I need to discuss my future I suppose!,neutral
I need to discuss my future I suppose! from my perspective,neutral
"So, I hate my friends maybe",negative
"Actually, You know what, I need to discuss my health.",neutral
"You know what, I need to discuss my health. don't you think?",neutral
"Hey, I need to discuss my past?! don't you think?",neutral
"I feel like I mean, I'm thinking about my day as far as I can tell.",neutral
"I mean, I'm thinking about my day as far as I can tell....",neutral
"You know what, I'm disappointed with my future as far as I can tell...! you know?",negative
"You know what, I'm disappointed with my future as far as I can tell...!...?",negative
I think I love my relationship...!,positive
"So, I'm disappointed with my health if you ask me...",negative
"To be honest, I hate school don't you think??!",negative
"I believe You see, I'm really happy about my future you know ",positive
"You see, I'm really happy about my future you know  from my perspective",positive
I believe I'm thinking about my past I think,neutral
I'm thinking about my past I think don't you think?,neutral
I'm thinking about my past I think!,neutral
"So, I'm excited for my job very! right?",positive
"I think Hey, I'm disappointed with my day",negative
"Hey, I'm disappointed with my day maybe",negative
"Hey, I'm disappointed with my day!!",negative
"You know, So, I'm upset about my future in my opinion...",negative
"Actually, Well, I'm disappointed with my day I think",negative
"Actually, I love my job right?",positive
I love my job right?...,positive
"In my experience, Actually, I'm upset about my future if you ask me",negative
"Actually, I'm upset about my future if you ask me you know?",negative
"I mean, I'm thinking about my past?",neutral
"In my experience, Honestly, I love work",positive
"Well, I love work I believe! don't you think?",positive
"Well, I love work I believe!!",positive
"To be honest, I need to discuss my job if you ask me?! don't you think?",neutral
"To be honest, I need to discuss my job if you ask me?!!",neutral
"In my experience, Actually, I'm thinking about my day.",neutral
"Look, I'm upset about my future?? right?",negative
I need to discuss school you know? don't you think?,neutral
"In my experience, I'm disappointed with my future I suppose...",negative
I'm thinking about my relationship very!!,neutral
"Actually, I'm really happy about my day quite...",positive
"In my experience, To be honest, I love my past quite",positive
"Listen, I'm thinking about school don't you think? I think",neutral
I'm disappointed with work,negative
"Look, I'm upset about my relationship it seems I think",negative
"Actually, Actually, I need to discuss my friends quite!",neutral
"Actually, I need to discuss my friends quite!!",neutral
"I feel like Hey, I'm thinking about work I think",neutral
"Hey, I'm thinking about work I think...?",neutral
I'm thinking about school I think,neutral
"Look, I'm excited for my job you know",positive
"Actually, I'm excited for my friends?!",positive
I'm excited for my friends?! don't you think?,positive
I'm excited for my friends?!!,positive
I think I'm upset about work if you ask me,negative
I'm upset about work if you ask me from my perspective,negative
I'm upset about work if you ask me?!,negative
"To be honest, I'm thinking about my friends I suppose maybe",neutral
"Maybe I mean, I'm excited for my job",positive
"Look, I'm disappointed with my family?!",negative
"You know, I'm thinking about my family in my opinion",neutral
I'm thinking about my family in my opinion don't you think?,neutral
I'm disappointed with my health right?  right?,negative
I'm disappointed with my health right? ?!,negative
Maybe I'm excited for school very...!,positive
I'm excited for school very...! maybe,positive
I'm excited for school very...!?!,positive
"So, I'm upset about my job from my perspective you know?",negative
"So, I'm upset about my job from my perspective!!",negative
"I think Actually, I'm thinking about my friends you know.",neutral
"I believe Hmm, I'm excited for school",positive
"Hmm, I'm excited for school from my perspective",positive
"Hmm, I'm excited for school!!",positive
I hate my job from my perspective right?,negative
"I feel like To be honest, I love school",positive
"To be honest, I love school...",positive
"So, I'm disappointed with work quite??",negative
I feel like I'm disappointed with my health I think,negative
"Actually, Let's talk about my day?!",neutral
"In my experience, I hate my past!",negative
I hate my past! you know?,negative
"So, I need to discuss my past right?,",neutral
"You know, Honestly, I'm excited for my health I believe?",positive
"Honestly, I'm excited for my health I believe? from my perspective",positive
"Honestly, I'm excited for my health I believe?...",positive
I'm disappointed with school wouldn't you say? maybe,negative
"Maybe Listen, I'm excited for my family",positive
"Look, I'm thinking about work from my perspective??!!",neutral
"You see, I love my past wouldn't you say? maybe",positive
"In my experience, I love my future",positive
I need to discuss school I suppose you know?,neutral
"Maybe You see, I love my health right?",positive
"Listen, I'm disappointed with my relationship quite",negative
"I mean, I'm really happy about my health really. from my perspective",positive
"I mean, I'm really happy about my health really.!",positive
"You know, Honestly, Let's talk about my relationship actually",neutral
"Honestly, Let's talk about my relationship actually you know?",neutral
"Honestly, I'm disappointed with school...",negative
I'm thinking about my job I believe maybe,neutral
I think I'm upset about my family actually,negative
"In my experience, Honestly, I'm upset about my family if you ask me",negative
"Honestly, I'm upset about my family if you ask me from my perspective",negative
"You see, I'm thinking about my relationship from my perspective",neutral
"I mean, I hate my family quite? in my opinion",negative
"I mean, I hate my family quite?!",negative
"Honestly, I hate my future!",negative
I hate my future! don't you think?,negative
I hate my future!!,negative
"Listen, I'm really happy about my past?! don't you think?",positive
"Listen, I'm really happy about my past?!!!",positive
"You know, Actually, I love school I think",positive
"Actually, I love school I think right?",positive
"Actually, I love school I think?!",positive
I think I'm really happy about my future?!,positive
I'm really happy about my future?! you know?,positive
I'm really happy about my future?!?!,positive
"So, I'm disappointed with my job I believe!",negative
"You know, So, I love my job you know",positive
I'm disappointed with my friends very,negative
"You know what, I'm thinking about school wouldn't you say?,!!",neutral
"You know, Hey, Let's talk about work from my perspective",neutral
"Hey, Let's talk about work from my perspective!!",neutral
I hate my health wouldn't you say?,negative
"Hey, I'm thinking about my future! I think",neutral
"Actually, Actually, Let's talk about my family??",neutral
"Actually, Let's talk about my family?? I think",neutral
Maybe I'm upset about my family I think...!,negative
I'm upset about my family I think...!!,negative
I believe I'm thinking about my job?!,neutral
I'm thinking about my job?! don't you think?,neutral
I'm thinking about my job?!!!,neutral
"You know, Let's talk about school ",neutral
Let's talk about school  you know?,neutral
"You know, You see, I'm upset about my friends if you ask me...",negative
"You see, I'm upset about my friends if you ask me... you know?",negative
"You see, I'm upset about my friends if you ask me......?",negative
"In my experience, So, I'm excited for my future...",positive
"So, I'm excited for my future... right?",positive
"So, I'm excited for my future...!!",positive
I'm excited for my job as far as I can tell don't you think?,positive
"I think Listen, I'm really happy about work",positive
Maybe Let's talk about my past it seems?,neutral
Let's talk about my past it seems?!,neutral
"You know what, I'm thinking about my future wouldn't you say??! from my perspective",neutral
"You know what, I'm thinking about my future wouldn't you say??!...",neutral
"So, I'm excited for my health you know. I think",positive
"Maybe Actually, I hate my future wouldn't you say?",negative
"Actually, I hate my future wouldn't you say? maybe",negative
"Actually, I hate my future wouldn't you say?...?",negative
"Honestly, I'm upset about my friends don't you think?",negative
"Listen, Let's talk about my future I believe",neutral
I'm disappointed with my past I suppose don't you think?,negative
I believe I need to discuss work,neutral
I need to discuss work...?,neutral
"Hmm, I need to discuss my future? right?",neutral
"Hmm, I need to discuss my future?...?",neutral
"Honestly, I'm thinking about my future as far as I can tell",neutral
I'm thinking about my future as far as I can tell you know?,neutral
"Actually, I'm upset about my friends...! you know?",negative
I'm excited for work actually!!,positive
"In my experience, I'm excited for my family you know...!",positive
I'm excited for my family you know...!...,positive
"Actually, I need to discuss my friends in my opinion?!",neutral
I need to discuss my friends in my opinion?! you know?,neutral
I need to discuss my friends in my opinion?!!,neutral
"You know, I love my job don't you think?",positive
"You know, I'm really happy about my job I think",positive
I'm really happy about my job I think you know?,positive
"In my experience, Listen, I'm disappointed with my health don't you think?!",negative
"Hmm, I'm thinking about school you know in my opinion",neutral
"I believe Hmm, I hate my relationship very?!",negative
"Hmm, I hate my relationship very?! you know?",negative
"Hmm, I hate my relationship very?!!",negative
I feel like I'm excited for my family,positive
I'm excited for my family maybe,positive
I hate my relationship I suppose,negative
I believe Let's talk about my future as far as I can tell?!,neutral
I believe I'm disappointed with school I suppose,negative
I'm thinking about my relationship it seems you know?,neutral
I'm thinking about my relationship it seems...,neutral
"Actually, Let's talk about my job as far as I can tell",neutral
Let's talk about my job as far as I can tell right?,neutral
Let's talk about my job as far as I can tell...?,neutral
"Hmm, I hate my relationship in my opinion...?",negative
"You see, I'm upset about my family I think",negative
"Well, Let's talk about my day very...?",neutral
I need to discuss my future really,neutral
I'm excited for school!!,positive
I believe I'm really happy about my day if you ask me,positive
I'm really happy about my day if you ask me I think,positive
"Maybe So, I need to discuss my friends you know ",neutral
"So, I need to discuss my friends you know ?!",neutral
"Honestly, Honestly, I hate work in my opinion...",negative
I'm upset about my friends you know from my perspective,negative
"Honestly, I love my friends I believe...",positive
I love my friends I believe...!,positive
"You know, I'm thinking about my relationship",neutral
I'm thinking about my relationship you know?,neutral
I'm thinking about my relationship...,neutral
I feel like I'm excited for my health don't you think?...,positive
I'm excited for my health don't you think?......?,positive
I need to discuss work you know,neutral
I'm upset about school in my opinion!,negative
I love my job really... maybe,positive
I love my job really...!,positive
I hate work if you ask me don't you think?,negative
I hate work if you ask me!!,negative
"Actually, I'm really happy about my day it seems?!",positive
I'm really happy about my day it seems?!!!,positive
I need to discuss my job I believe! maybe,neutral
I need to discuss my job I believe!...,neutral
"Honestly, I'm really happy about my future don't you think? in my opinion",positive
"You see, I hate my friends very, you know?",negative
"Maybe Actually, I'm really happy about my relationship really...!",positive
"Actually, I'm really happy about my relationship really...! in my opinion",positive
"Actually, I'm really happy about my relationship really...!!!",positive
"I believe So, I hate my day actually!!",negative
"So, I hate my day actually!! from my perspective",negative
"So, I hate my day actually!!?!",negative
"In my experience, I'm really happy about my family",positive
"Honestly, So, I need to discuss my family wouldn't you say?",neutral
"So, I need to discuss my family wouldn't you say? in my opinion",neutral
"So, I need to discuss my family wouldn't you say?...?",neutral
"You know, Listen, I'm upset about school if you ask me",negative
"Listen, I'm upset about school if you ask me maybe",negative
"Listen, I'm upset about school if you ask me...",negative
"I think Look, I love work don't you think?",positive
I'm really happy about my health very don't you think?,positive
I'm really happy about my health very!,positive
"So, I need to discuss work it seems in my opinion",neutral
"Actually, I'm really happy about my future...",positive
"Honestly, Honestly, I need to discuss my family ",neutral
I'm disappointed with my future...,negative
"Actually, I hate my health",negative
I hate my health in my opinion,negative
I hate my health!,negative
Let's talk about my future very,neutral
I'm really happy about my health...?,positive
"In my experience, I need to discuss my past wouldn't you say?",neutral
I need to discuss my past wouldn't you say? right?,neutral
I feel like I'm disappointed with school...!,negative
I'm disappointed with school...! maybe,negative
I'm disappointed with school...!...,negative
"Maybe Honestly, I love my past",positive
"Honestly, I love my past...",positive
"I feel like Hey, I'm disappointed with my family I believe?",negative
"Hey, I'm disappointed with my family I believe? in my opinion",negative
"Hey, I'm disappointed with my family I believe?...",negative
"Listen, Let's talk about my family I think...!!",neutral
"Honestly, I love work",positive
I love work!,positive
"So, I hate my friends I believe you know?",negative
"So, I hate my friends I believe?!",negative
"In my experience, I mean, Let's talk about my health",neutral
"I mean, Let's talk about my health right?",neutral
"I mean, Let's talk about my health!!",neutral
"Well, Let's talk about my family I think",neutral
"Well, Let's talk about my family!",neutral
I need to discuss my health I suppose you know?,neutral
I need to discuss my health I suppose?!,neutral
"You know, I'm upset about my family ",negative
I'm upset about my family !!,negative
"Well, I'm really happy about my future I believe!!!",positive
"You see, I'm upset about my past really! I think",negative
"You see, I'm upset about my past really!?!",negative
I'm disappointed with my friends if you ask me you know?,negative
"Hey, Let's talk about work actually I think",neutral
"Hey, Let's talk about work actually?!",neutral
I believe I'm really happy about my family don't you think?,positive
I'm really happy about my family don't you think? I think,positive
I'm really happy about my family don't you think?...,positive
I feel like I'm upset about my family wouldn't you say?,negative
I'm upset about my family wouldn't you say?...?,negative
"To be honest, I'm thinking about my past  from my perspective",neutral
"To be honest, I'm thinking about my past ...?",neutral
"Honestly, Hey, I'm disappointed with my day I believe",negative
"Hey, I'm disappointed with my day I believe!",negative
"In my experience, Look, I'm thinking about my health right?",neutral
"Look, I'm thinking about my health right? I think",neutral
I believe I hate work you know!!,negative
I hate work you know!! maybe,negative
"In my experience, I need to discuss work really",neutral
I feel like I'm upset about my friends,negative
I'm upset about my friends maybe,negative
"Honestly, Look, Let's talk about my relationship from my perspective",neutral
"Look, Let's talk about my relationship from my perspective!!",neutral
"In my experience, I'm really happy about my day as far as I can tell...!",positive
"Listen, Let's talk about my future don't you think??! from my perspective",neutral
"Listen, Let's talk about my future don't you think??!!",neutral
I'm disappointed with my health right? right?,negative
I'm disappointed with my health right??!,negative
I need to discuss my relationship actually!,neutral
"Maybe You see, Let's talk about my relationship",neutral
"You see, Let's talk about my relationship in my opinion",neutral
"You see, Let's talk about my relationship!!",neutral
I'm really happy about my job. you know?,positive
"You see, I love my past very!!!",positive
I love my friends don't you think?...?,positive
"In my experience, Let's talk about my job quite?",neutral
Let's talk about my job quite? in my opinion,neutral
Let's talk about my job quite?...?,neutral
"I mean, I need to discuss my relationship I think. right?",neutral
"You know, To be honest, I hate my relationship I think",negative
"To be honest, I hate my relationship I think...?",negative
"Actually, Listen, I'm disappointed with school if you ask me",negative
I'm upset about work right?!!,negative
I'm thinking about work in my opinion I think,neutral
"Hey, I hate my future don't you think? I think",negative
"Hey, I hate my future don't you think?!!",negative
"Honestly, I'm excited for school quite",positive
I'm excited for school quite in my opinion,positive
I'm excited for school quite!!,positive
"Maybe Listen, I'm really happy about my health in my opinion...",positive
"Listen, I'm really happy about my health in my opinion... maybe",positive
"Listen, I'm really happy about my health in my opinion...!!",positive
"Maybe You see, I'm excited for my past you know",positive
"You see, I'm excited for my past you know from my perspective",positive
"I think I'm upset about my day from my perspective,",negative
"I'm upset about my day from my perspective,?!",negative
I need to discuss my relationship wouldn't you say?! in my opinion,neutral
"You see, I need to discuss school quite?!",neutral
"You know, Let's talk about my day in my opinion",neutral
Let's talk about my day in my opinion!,neutral
Maybe I'm excited for my past I suppose?,positive
I'm excited for my past I suppose? right?,positive
I'm excited for my past I suppose?...?,positive
"Maybe Look, I need to discuss my day from my perspective",neutral
"I believe Honestly, I'm thinking about my future",neutral
"Honestly, I'm thinking about my future?!",neutral
I need to discuss my friends quite,neutral
"In my experience, I mean, I hate school??",negative
"I feel like So, I'm disappointed with my past if you ask me!",negative
"So, I'm disappointed with my past if you ask me!...",negative
"You see, I'm really happy about my day maybe",positive
I hate my day don't you think?!,negative
"I think To be honest, I hate my friends I suppose",negative
"To be honest, I hate my friends I suppose right?",negative
I love my future I think,positive
"In my experience, You see, Let's talk about my future you know!!",neutral
"You see, Let's talk about my future you know!! I think",neutral
I'm thinking about my health I suppose?...?,neutral
"You know, I'm excited for my day in my opinion?!",positive
I'm excited for my day in my opinion?! from my perspective,positive
I'm excited for my day in my opinion?!...,positive
"Actually, Look, I'm really happy about my health in my opinion",positive
"To be honest, I'm really happy about my health I suppose...?",positive
Let's talk about my past quite?! I think,neutral
Let's talk about my past quite?!...,neutral
I'm upset about my job? maybe,negative
I'm upset about my job?...?,negative
I hate my family don't you think?!!,negative
I hate my future very!,negative
I think I hate my health quite.,negative
I hate my health quite.!,negative
I'm excited for my past,positive
I feel like I'm really happy about my friends from my perspective,positive
I'm really happy about my friends from my perspective?!,positive
"I'm upset about my friends right?,!!",negative
"Hey, I love my job I believe don't you think?",positive
I hate my day wouldn't you say?? I think,negative
I hate my day wouldn't you say??...?,negative
I believe I need to discuss my job don't you think?,neutral
"I think Well, I'm really happy about my friends?",positive
"Well, I'm really happy about my friends? from my perspective",positive
I think I hate my job right?...!,negative
I hate my job right?...!?!,negative
Let's talk about my job you know!,neutral
I hate my health don't you think?...?,negative
Maybe I'm upset about work very,negative
I'm upset about work very I think,negative
I'm upset about work very!!,negative
I'm really happy about work... right?,positive
"In my experience, To be honest, I love my past I suppose",positive
"You see, I hate my job if you ask me in my opinion",negative
"You know, Actually, I'm thinking about my past don't you think?",neutral
"Actually, I'm thinking about my past don't you think? from my perspective",neutral
