text,label
"Well, I can't stop crying my health in my opinion?!...",sad
I'm just checking in my relationship.,neutral
I'm really upset about my friends if you ask me?! maybe,sad
I'm really upset about my friends if you ask me?!!,sad
"Hey, I'm so excited about work maybe",happy
"Honestly, Listen, I'm feeling down work very?!",sad
"You know, I'm so excited about work actually",happy
I'm so excited about work actually you know?,happy
I'm really upset about my relationship it seems from my perspective,sad
I'm really upset about my relationship it seems...?,sad
I'm really upset about my relationship really I think,sad
I'm really upset about my relationship really...,sad
"Maybe You know what, Everything is going well my future I think",happy
"You know what, Everything is going well my future I think...?",happy
"So, I can't believe work maybe",angry
"So, I can't believe work...?",angry
"Actually, I'm really upset about school??",sad
"I believe Honestly, I'm so excited about my future actually",happy
"Honestly, I'm so excited about my future actually?!",happy
"I mean, I'm so frustrated with my future in my opinion",angry
"You see, I wanted to talk about school you know?",neutral
"You see, I wanted to talk about school?!",neutral
I'm really worried about my relationship actually  from my perspective,anxious
"In my experience, I'm feeling great today! work quite",happy
I'm feeling great today! work quite you know?,happy
I'm feeling great today! work quite?!,happy
"I believe Well, I can't believe my future",angry
"Well, I can't believe my future maybe",angry
"Well, I can't believe my future!!",angry
"Actually, I'm feeling down my health don't you think?",sad
"Honestly, I'm so excited about school I believe",happy
Maybe I'm feeling great today! my day right?,happy
This makes me really mad my job! I think,angry
"Maybe So, I'm nervous about my day wouldn't you say?",anxious
"So, I'm nervous about my day wouldn't you say?...",anxious
"I feel like Listen, This makes me really mad my health",angry
"Listen, This makes me really mad my health in my opinion",angry
I'm really upset about my friends actually,sad
"Honestly, This makes me really mad my relationship don't you think?,",angry
"I mean, I can't stop crying my job?? you know?",sad
"I mean, I can't stop crying my job???!",sad
"I feel like Well, I wanted to talk about school very??",neutral
I'm really upset about my friends very,sad
"Actually, I wanted to talk about my future if you ask me you know?",neutral
"Actually, I wanted to talk about my future if you ask me?!",neutral
"I think I mean, I wanted to talk about work",neutral
"I mean, I wanted to talk about work don't you think?",neutral
"I mean, I wanted to talk about work!",neutral
This makes me really mad my day you know??!,angry
"You know, I'm just checking in my job don't you think?...",neutral
I'm just checking in my job don't you think?... you know?,neutral
I'm just checking in my job don't you think?...!!,neutral
I'm really upset about school as far as I can tell??,sad
"I think You know what, Everything is going well my day actually",happy
"So, I can't believe my past I think I think",angry
"So, I can't believe my past I think!!",angry
"I mean, I'm really upset about my past I suppose...?",sad
I'm feeling great today! my family I think,happy
"Honestly, Everything is going well my day don't you think?!!",happy
Everything is going well my day don't you think?!! in my opinion,happy
Everything is going well my day don't you think?!!?!,happy
"I believe Actually, I'm nervous about school very",anxious
"Actually, I'm nervous about school very you know?",anxious
"Actually, I wanted to talk about school you know",neutral
"You know, Hey, I'm so frustrated with school",angry
"Actually, I'm so excited about my family right?",happy
I'm so excited about my family right? from my perspective,happy
I'm so excited about my family right?...?,happy
Maybe I'm just checking in my health I think,neutral
I'm just checking in my health I think...,neutral
"I think Well, I'm feeling down my family in my opinion.",sad
"Well, I'm feeling down my family in my opinion.!",sad
"So, I can't stop thinking about my job don't you think??! I think",anxious
"So, I can't stop thinking about my job don't you think??!?!",anxious
"Actually, I can't stop thinking about my past quite",anxious
I can't stop thinking about my past quite don't you think?,anxious
I can't stop thinking about my past quite?!,anxious
"You see, This makes me really mad my day I think!!",angry
"I mean, I can't believe my future ",angry
This makes me really mad my friends you know...! from my perspective,angry
This makes me really mad my friends you know...!...?,angry
"You know, Hmm, I'm really upset about my family wouldn't you say?!",sad
"Actually, I'm so excited about my past you know",happy
I feel like I can't believe my past very,angry
"I believe Actually, I'm so frustrated with my health quite",angry
I'm so frustrated with my health I think right?,angry
I'm so frustrated with my health I think...,angry
Everything is going well work maybe,happy
"You know, I wanted to talk about my family you know!",neutral
I wanted to talk about my family you know!...,neutral
"I feel like Honestly, I'm feeling great today! my past you know!",happy
"Honestly, I'm feeling great today! my past you know! don't you think?",happy
I'm just checking in my future...?,neutral
"I believe So, I can't stop thinking about school if you ask me",anxious
"So, I can't stop thinking about school if you ask me you know?",anxious
"So, I can't stop thinking about school if you ask me!!",anxious
This makes me really mad work from my perspective,angry
This makes me really mad work!!,angry
"Maybe You see, I'm really upset about my family",sad
"You see, I'm really upset about my family you know?",sad
I'm really worried about my health you know you know?,anxious
I'm really worried about my health you know!,anxious
"I'm feeling great today! school,",happy
I feel like I wanted to talk about my friends quite,neutral
"You know, To be honest, I'm so frustrated with school as far as I can tell,",angry
"In my experience, I'm nervous about my day",anxious
"I feel like You know what, I can't stop thinking about school",anxious
I believe I'm feeling great today! work really,happy
I'm feeling great today! work really don't you think?,happy
"I believe Well, I can't stop thinking about my job??",anxious
"Well, I can't stop thinking about my job?? don't you think?",anxious
I feel like I'm really upset about school!!,sad
I'm really upset about school!! from my perspective,sad
I'm really upset about school!!...?,sad
"Honestly, Honestly, I'm just checking in my friends ",neutral
"Hey, I'm feeling great today! my past very!!...",happy
I feel like I'm nervous about my family quite,anxious
I'm nervous about my family quite!,anxious
"I feel like Hey, I'm so frustrated with my day",angry
"Hey, I'm so frustrated with my day from my perspective",angry
"Maybe To be honest, I'm feeling down work I suppose??",sad
"To be honest, I'm feeling down work I suppose?? right?",sad
"To be honest, I'm feeling down work I suppose??...?",sad
"Honestly, So, This makes me really mad work I believe",angry
"So, This makes me really mad work I believe...?",angry
"Hmm, I can't believe my health.",angry
"Honestly, I'm feeling down my future...",sad
I'm feeling down my future...!,sad
"Look, I can't believe my friends I think",angry
"Look, I can't believe my friends!!",angry
Can we discuss work maybe,neutral
Can we discuss work?!,neutral
"You know, Listen, I can't stop thinking about my family very",anxious
"Listen, I can't stop thinking about my family very...",anxious
"Maybe Actually, I can't believe my friends you know?",angry
"Actually, I can't believe my friends you know? right?",angry
"You know, I can't believe work from my perspective?",angry
I can't believe work from my perspective? maybe,angry
"To be honest, I'm feeling down school! I think",sad
"To be honest, I'm feeling down school!!",sad
Can we discuss my health if you ask me!,neutral
"Hey, I can't stop crying my future don't you think?...",sad
"In my experience, I'm really worried about my relationship very",anxious
I'm really worried about my relationship very!!,anxious
"Maybe You see, I'm really upset about my past you know.",sad
"You see, I'm really upset about my past you know. don't you think?",sad
"In my experience, I'm feeling great today! my day!",happy
I can't stop thinking about my health I suppose?? right?,anxious
I think I can't stop crying my family very,sad
I can't stop crying my family very don't you think?,sad
"In my experience, Everything is going well school if you ask me",happy
"Look, I can't believe school ",angry
"So, I'm so frustrated with my health!!",angry
"I believe So, I'm feeling great today! school",happy
"Actually, I'm really upset about my family it seems maybe",sad
"I believe Listen, I'm so excited about my friends I think",happy
"Listen, I'm so excited about my friends I think you know?",happy
I can't stop thinking about my future in my opinion,anxious
"I can't believe my relationship in my opinion,?!",angry
"Look, I can't stop thinking about my past actually you know?",anxious
"Look, I can't stop thinking about my past actually...?",anxious
"Actually, I'm just checking in my friends in my opinion",neutral
"I believe Hey, This makes me really mad my family if you ask me",angry
"Hey, This makes me really mad my family if you ask me!",angry
"You know, I'm nervous about my health wouldn't you say?",anxious
I'm nervous about my health wouldn't you say?!,anxious
"You know what, I'm so excited about my day don't you think???!",happy
I can't believe my family right? from my perspective,angry
I can't believe my family right?!,angry
"Look, I can't believe my past...?",angry
I'm really upset about my health in my opinion don't you think?,sad
I'm really upset about my health in my opinion...?,sad
"Well, Everything is going well my family it seems right?",happy
"You see, I'm really upset about my job I think...",sad
I'm feeling down school!!!!,sad
"I think Honestly, I'm so frustrated with my family you know",angry
"Honestly, I'm so frustrated with my family you know!!",angry
"I believe Look, I'm so excited about my future",happy
"Look, I'm so excited about my future!",happy
I believe I'm feeling great today! my past??,happy
Maybe Everything is going well my health,happy
Everything is going well my health!!,happy
"You know, I wanted to talk about school??",neutral
I wanted to talk about school?? don't you think?,neutral
I wanted to talk about school??...,neutral
"I think Well, I'm so frustrated with my health I think",angry
"Well, I'm so frustrated with my health I think I think",angry
I wanted to talk about my future maybe,neutral
"I believe You know what, I'm just checking in my past",neutral
I'm so excited about school actually maybe,happy
"To be honest, I'm just checking in my health as far as I can tell in my opinion",neutral
"In my experience, So, I can't stop crying my relationship if you ask me",sad
"So, I can't stop crying my relationship if you ask me right?",sad
"So, I can't stop crying my relationship if you ask me...?",sad
"I feel like Hmm, This makes me really mad my day very",angry
"Hmm, This makes me really mad my day very!",angry
"In my experience, I'm feeling down my health as far as I can tell!",sad
I'm feeling down my health as far as I can tell! don't you think?,sad
I'm feeling down my health as far as I can tell!!!,sad
I'm feeling down my past wouldn't you say??!,sad
I can't believe my past quite,angry
"You know, I'm feeling great today! my relationship don't you think? ",happy
I'm feeling great today! my relationship don't you think?  you know?,happy
I believe I'm really upset about work,sad
I believe I'm so frustrated with work really,angry
I'm so frustrated with work really I think,angry
I'm so frustrated with work really...?,angry
"Listen, I can't stop thinking about my job I think from my perspective",anxious
"Hey, I wanted to talk about my day if you ask me from my perspective",neutral
"Hey, I wanted to talk about my day if you ask me!",neutral
I wanted to talk about my future very...,neutral
"Look, I can't stop crying my health right?  don't you think?",sad
"Look, I can't stop crying my health right? ...",sad
Everything is going well my friends quite right?,happy
"Honestly, You know what, I'm just checking in my future as far as I can tell",neutral
"You know what, I'm just checking in my future as far as I can tell in my opinion",neutral
"You know what, I'm just checking in my future as far as I can tell!",neutral
"Actually, You know what, I wanted to talk about work don't you think?",neutral
"You know what, I wanted to talk about work don't you think? don't you think?",neutral
"Honestly, This makes me really mad school very in my opinion",angry
"Honestly, This makes me really mad school very...?",angry
I'm just checking in my job in my opinion,neutral
"Maybe Hmm, I can't stop crying my day",sad
"I think You know what, I'm just checking in work from my perspective?!",neutral
"You know what, I'm just checking in work from my perspective?! maybe",neutral
"You know what, I'm just checking in work from my perspective?!!!",neutral
"In my experience, I wanted to talk about school,",neutral
"Honestly, Look, I can't believe my health I believe,",angry
"Look, I can't believe my health I believe, in my opinion",angry
"Look, I can't believe my health I believe,!!",angry
"In my experience, I'm just checking in my health...",neutral
"I believe Honestly, I'm nervous about my past don't you think?",anxious
"Honestly, I'm feeling great today! my future quite",happy
"Honestly, You see, I'm really worried about my friends as far as I can tell?!",anxious
"You see, I'm really worried about my friends as far as I can tell?!!!",anxious
"You know what, I'm feeling great today! work quite from my perspective",happy
"You know, Honestly, I'm feeling down my job I think",sad
"Honestly, I'm feeling down my job I think...?",sad
"I think Honestly, I'm feeling down my health wouldn't you say?",sad
"Honestly, I'm feeling down my health wouldn't you say? in my opinion",sad
"I think Actually, I can't believe my past actually...!",angry
"Actually, I can't believe my past actually...! don't you think?",angry
"You know what, I'm so excited about my relationship...?",happy
"Honestly, Listen, I can't stop thinking about my health really",anxious
"Listen, I can't stop thinking about my health really in my opinion",anxious
"Listen, I can't stop thinking about my health really...?",anxious
"In my experience, I'm feeling great today! my friends",happy
I'm feeling great today! my friends in my opinion,happy
I'm feeling great today! my friends!,happy
"You know, I'm so excited about my day it seems...",happy
I'm so excited about my day it seems......,happy
I'm feeling great today! my job in my opinion,happy
I'm really upset about my friends don't you think?,sad
I'm really upset about my friends!!,sad
"You see, I'm really upset about work",sad
"Honestly, Everything is going well my family as far as I can tell",happy
"In my experience, Look, I'm so excited about my relationship wouldn't you say?",happy
"Look, I'm so excited about my relationship wouldn't you say? I think",happy
"Look, I'm so excited about my relationship wouldn't you say?...?",happy
"Look, Can we discuss my future if you ask me.!",neutral
"You know, Well, I can't stop crying my friends.",sad
"Well, I can't stop crying my friends.!",sad
"I believe Look, I can't believe my future very",angry
"Look, I can't believe my future very in my opinion",angry
"Look, I can't believe my future very?!",angry
I feel like I wanted to talk about my family as far as I can tell?!,neutral
I wanted to talk about my family as far as I can tell?! don't you think?,neutral
I wanted to talk about my family as far as I can tell?!!!,neutral
I think I'm feeling down my day quite,sad
I'm feeling down my day quite in my opinion,sad
I'm feeling down my day quite?!,sad
"Listen, I can't stop thinking about my future in my opinion maybe",anxious
"Listen, I can't stop thinking about my future in my opinion...?",anxious
I believe I'm really worried about my health actually,anxious
I'm really worried about my health actually?!,anxious
"Hey, I'm so excited about my friends from my perspective,",happy
"Well, I wanted to talk about my friends right?!!",neutral
"In my experience, I can't stop thinking about my health right?",anxious
"Honestly, I can't stop thinking about my health actually",anxious
I can't stop thinking about my health actually...?,anxious
I feel like This makes me really mad my friends I suppose??,angry
This makes me really mad my friends I suppose?? right?,angry
This makes me really mad my friends I suppose??...?,angry
"I believe Look, I'm so frustrated with work!!",angry
"Hey, I can't stop crying my relationship very!...?",sad
I can't stop crying school don't you think?...?,sad
"In my experience, I'm nervous about my family wouldn't you say?",anxious
I'm nervous about my family wouldn't you say? maybe,anxious
"I mean, I'm really upset about my friends from my perspective maybe",sad
"In my experience, Everything is going well my health!!",happy
"Actually, I wanted to talk about my family you know?",neutral
"Actually, I wanted to talk about my family...?",neutral
I can't stop thinking about work quite!!,anxious
"You know, Listen, I can't stop thinking about my relationship I believe",anxious
"Listen, I can't stop thinking about my relationship I believe maybe",anxious
"Listen, I can't stop thinking about my relationship I believe?!",anxious
Can we discuss my future right???,neutral
Can we discuss my past very don't you think?,neutral
Can we discuss my past very...?,neutral
"I believe I mean, I'm nervous about my day wouldn't you say?!!",anxious
"I mean, I'm nervous about my day wouldn't you say?!!?!",anxious
"So, I'm so excited about my past you know?? maybe",happy
"I think Listen, I'm so excited about school you know",happy
I feel like I can't stop thinking about my friends,anxious
I can't stop thinking about my friends don't you think?,anxious
I can't stop thinking about my friends...,anxious
"Honestly, This makes me really mad my friends really",angry
This makes me really mad my friends really maybe,angry
This makes me really mad my friends really!,angry
"Well, I'm feeling down my job!!",sad
"To be honest, I can't believe work I think... maybe",angry
"To be honest, I can't believe work I think...!",angry
I'm so frustrated with my family actually?!,angry
This makes me really mad my friends don't you think? right?,angry
This makes me really mad my friends don't you think?!!,angry
"Honestly, Can we discuss my health I think...!!",neutral
"In my experience, Can we discuss my day?!",neutral
Can we discuss my day?! don't you think?,neutral
"You know, Can we discuss my past.",neutral
Can we discuss my past.!!,neutral
"Actually, I'm so excited about my health right? maybe",happy
"Actually, Well, I'm just checking in my past very?",neutral
"Well, I'm just checking in my past very?!!",neutral
Everything is going well school from my perspective...! maybe,happy
"I mean, I'm feeling great today! my relationship really?!",happy
Maybe This makes me really mad my health it seems,angry
"Actually, So, I'm nervous about my relationship!",anxious
"So, I'm nervous about my relationship!...",anxious
I'm nervous about school it seems maybe,anxious
"In my experience, Everything is going well school very",happy
Everything is going well school very!!,happy
"Actually, I'm really worried about my past really",anxious
"Honestly, I'm just checking in my past I think  don't you think?",neutral
"Honestly, I'm just checking in my past I think !",neutral
"I feel like To be honest, Everything is going well my job if you ask me ",happy
"To be honest, Everything is going well my job if you ask me ...?",happy
"I'm feeling great today! school right?, don't you think?",happy
"You see, I can't stop crying my day quite maybe",sad
"You see, I can't stop crying my day quite!",sad
"Hey, I'm nervous about my job",anxious
"Actually, I'm just checking in my job you know...",neutral
I'm just checking in my job you know... from my perspective,neutral
I'm just checking in my job you know...!,neutral
"Actually, I'm feeling great today! my job if you ask me?",happy
"You know, Listen, I'm so excited about my health I believe.",happy
"Listen, I'm so excited about my health I believe.!",happy
"I think Listen, I wanted to talk about my relationship from my perspective...!",neutral
"Listen, I wanted to talk about my relationship from my perspective...!!!",neutral
"I feel like Actually, I'm so excited about school",happy
"Actually, I'm so excited about school you know?",happy
"Hey, I'm really upset about my day right? from my perspective",sad
"Look, I'm just checking in work as far as I can tell...! maybe",neutral
"Look, I'm just checking in work as far as I can tell...!...",neutral
"You know, Well, I'm nervous about my relationship in my opinion",anxious
"Well, I'm nervous about my relationship in my opinion maybe",anxious
I'm feeling great today! my family I think!!,happy
"I feel like Hey, I'm so frustrated with my relationship I suppose??",angry
"Hey, I'm so frustrated with my relationship I suppose???!",angry
"In my experience, Actually, I'm nervous about my friends really",anxious
"I believe Honestly, I'm nervous about work",anxious
"Honestly, I'm nervous about work you know?",anxious
"Look, I can't stop thinking about school",anxious
I can't stop thinking about work,anxious
"Actually, I'm really upset about my relationship I suppose, in my opinion",sad
"Actually, I'm really upset about my relationship I suppose,...",sad
I feel like I'm so excited about my future from my perspective,happy
I'm so excited about my future from my perspective don't you think?,happy
I'm so excited about my future from my perspective!,happy
"Actually, Hmm, I'm just checking in my relationship",neutral
"Hmm, I'm just checking in my relationship don't you think?",neutral
"Hmm, I'm just checking in my relationship...?",neutral
"I believe Listen, I can't stop crying work quite",sad
"Listen, I can't stop crying work quite right?",sad
"Listen, I can't stop crying work quite!",sad
I can't stop thinking about work wouldn't you say??!,anxious
"Actually, I'm just checking in my family it seems...?",neutral
I feel like I'm feeling great today! school actually,happy
I'm feeling great today! school actually...,happy
"So, I'm really upset about my job if you ask me from my perspective",sad
"I feel like So, I'm so frustrated with school right?",angry
"So, I'm so frustrated with school right?!!",angry
"Actually, I'm feeling great today! work",happy
I'm feeling great today! work right?,happy
"You know, I'm nervous about my health you know",anxious
I'm nervous about my health you know in my opinion,anxious
I'm nervous about my health you know...?,anxious
I think I can't stop thinking about my family actually?,anxious
"Actually, I'm nervous about work I think!!",anxious
I'm just checking in my day you know?,neutral
I think I can't stop thinking about my family it seems,anxious
"In my experience, Actually, This makes me really mad my health as far as I can tell",angry
"Actually, This makes me really mad my health as far as I can tell...",angry
"I believe To be honest, I'm so excited about my relationship quite",happy
Maybe I'm feeling down my job wouldn't you say?,sad
I'm feeling down my job wouldn't you say? maybe,sad
I'm feeling down my job wouldn't you say?!!,sad
"Honestly, I can't believe my day really",angry
"I feel like Look, I'm so frustrated with my job quite",angry
"Look, I'm so frustrated with my job quite you know?",angry
"Look, I'm so frustrated with my job quite!!",angry
"I feel like Well, I can't stop crying work ",sad
"Well, I can't stop crying work  you know?",sad
"Well, I can't stop crying work ?!",sad
"Hey, I wanted to talk about my day if you ask me?? maybe",neutral
"Hey, I wanted to talk about my day if you ask me??...",neutral
"Honestly, I can't believe my relationship quite",angry
I can't believe my relationship quite...,angry
"Actually, To be honest, I'm so frustrated with school",angry
"To be honest, I'm so frustrated with school!!",angry
I'm nervous about my relationship quite? in my opinion,anxious
"Actually, I'm so frustrated with work actually",angry
I'm so frustrated with work actually you know?,angry
I'm so frustrated with work actually?!,angry
"Hmm, I'm nervous about my past from my perspective!!...",anxious
"I think To be honest, I'm nervous about my family if you ask me...!",anxious
"To be honest, I'm nervous about my family if you ask me...!...",anxious
"I believe Hey, I'm feeling great today! my job in my opinion",happy
"Hey, I'm feeling great today! my job in my opinion you know?",happy
"Hey, I'm feeling great today! my job in my opinion...",happy
"I think Hey, I'm feeling down my day if you ask me!",sad
"Hey, I'm feeling down my day if you ask me! I think",sad
Everything is going well school ,happy
I feel like I'm really worried about my health really,anxious
I'm really worried about my health really maybe,anxious
"Actually, I wanted to talk about work right?!...?",neutral
I think I'm really worried about my friends...,anxious
I'm really worried about my friends......,anxious
I'm so frustrated with my day I think?!,angry
I'm really upset about my family you know...?,sad
I feel like I'm so excited about my friends,happy
I'm so excited about my friends?!,happy
"In my experience, Look, I can't stop crying school??",sad
"Look, I can't stop crying school??...",sad
"Well, I'm really upset about my relationship actually! don't you think?",sad
I believe I'm really upset about my past right?,sad
I'm really upset about my past right? don't you think?,sad
"Actually, Hey, I'm feeling great today! my day I believe...",happy
"Hey, I'm feeling great today! my day I believe... I think",happy
"Hey, I'm feeling great today! my day I believe...!",happy
Everything is going well my future it seems...,happy
"You know, Actually, I can't believe school",angry
"Actually, I can't believe school right?",angry
"Actually, I can't believe school...?",angry
"To be honest, I'm just checking in my day",neutral
I'm feeling down my past if you ask me ,sad
Maybe I'm nervous about school from my perspective,anxious
I'm feeling great today! work wouldn't you say?,happy
"I think Hmm, I'm so frustrated with my day quite",angry
"Hmm, I'm so frustrated with my day quite I think",angry
"To be honest, Can we discuss my past",neutral
"Actually, I'm feeling great today! my past as far as I can tell!",happy
I think Everything is going well my relationship wouldn't you say??!,happy
Everything is going well my relationship wouldn't you say??! you know?,happy
Everything is going well my relationship wouldn't you say??!?!,happy
I believe I'm really worried about school,anxious
I'm really worried about school...?,anxious
"I mean, I'm feeling down my friends very  from my perspective",sad
"I mean, I'm feeling down my friends very ...?",sad
Maybe I'm so excited about my friends I believe?,happy
"Honestly, This makes me really mad my friends I believe? maybe",angry
"Honestly, This makes me really mad my friends I believe?...?",angry
"I think So, I'm really upset about my past actually...!",sad
"So, I'm really upset about my past actually...! maybe",sad
This makes me really mad my friends very don't you think?,angry
This makes me really mad my friends very?!,angry
"In my experience, Well, I can't stop crying my day I suppose.",sad
"Well, I can't stop crying my day I suppose. you know?",sad
"So, I'm just checking in my health... in my opinion",neutral
Maybe I'm really worried about my future don't you think?,anxious
I'm really worried about my future don't you think?!,anxious
"In my experience, Can we discuss my family I believe.",neutral
Can we discuss my family I believe.!!,neutral
"Honestly, You know what, I wanted to talk about my future actually",neutral
"In my experience, Honestly, I can't believe my past",angry
"Honestly, I can't believe my past!",angry
I think I'm nervous about my friends from my perspective!!,anxious
I can't stop thinking about school I think?!,anxious
"I believe Well, I'm just checking in my past",neutral
"Well, I'm just checking in my past in my opinion",neutral
"Well, I'm just checking in my past!!",neutral
Maybe I wanted to talk about my day,neutral
I wanted to talk about my day from my perspective,neutral
"To be honest, I'm so frustrated with my relationship as far as I can tell?! don't you think?",angry
"To be honest, I'm so frustrated with my relationship as far as I can tell?!...?",angry
I'm just checking in my day actually?! I think,neutral
I'm really worried about my family don't you think?!,anxious
"I feel like To be honest, Everything is going well school in my opinion.",happy
"You know, Honestly, I'm so excited about school",happy
"Honestly, I'm so excited about school in my opinion",happy
I'm so frustrated with my past don't you think? from my perspective,angry
"You know, I'm feeling down my future if you ask me",sad
I'm feeling down my future if you ask me!,sad
"Listen, I can't stop thinking about work you know right?",anxious
"Listen, I can't stop thinking about work you know...?",anxious
"Well, I'm so excited about my job very... you know?",happy
"I think Well, Everything is going well my health I believe,",happy
"Actually, I'm so frustrated with my friends very.",angry
"Look, I'm just checking in school wouldn't you say? in my opinion",neutral
"Look, I'm just checking in school wouldn't you say?...?",neutral
"Maybe I mean, I'm feeling great today! my past if you ask me!",happy
"I mean, I'm feeling great today! my past if you ask me! in my opinion",happy
Everything is going well my job don't you think? from my perspective,happy
Everything is going well my job don't you think?...,happy
"Look, I'm so excited about my job wouldn't you say? I think",happy
"Look, I'm so excited about my job wouldn't you say??!",happy
"To be honest, Everything is going well school......",happy
I believe I'm feeling down my friends I think,sad
I'm feeling down my friends I think in my opinion,sad
I'm feeling down my friends I think?!,sad
Can we discuss my future from my perspective,neutral
Can we discuss my future?!,neutral
"I feel like Listen, I'm really worried about my family in my opinion",anxious
"You know, I'm feeling down my future wouldn't you say?",sad
I'm feeling down my future wouldn't you say?!,sad
"Actually, Listen, I'm nervous about my relationship",anxious
"Listen, I'm nervous about my relationship...",anxious
"Hey, I'm just checking in my past",neutral
I'm so frustrated with my family if you ask me?! right?,angry
I'm so frustrated with my family if you ask me?!...?,angry
Maybe I can't believe my health in my opinion ,angry
I can't believe my health in my opinion  I think,angry
I can't believe my health in my opinion !,angry
"I feel like Honestly, I'm so frustrated with my future from my perspective",angry
"Honestly, I'm so frustrated with my future from my perspective right?",angry
"Honestly, I'm so frustrated with my future from my perspective...?",angry
